ID,Titre,Auteurs,Date de Publication,Annee de Publication,Lien,Mots cles
hal-03691092,"Boleslas Ier, surnommé Chorbry le Grand, traduction","par Gérard d’un poéme de J. U. Niemcewicz, tiré de La",,1833,https://univ-paris8.hal.science/hal-03691092,"['Boleslas', 'Ier', 'surnommé', 'Chorbry', 'Grand', 'traduction']"
hal-04429237,Une question de conjonction,Sylvain Dournel,31 Jan 2024,2020,https://hal.science/hal-04429237,"['question', 'conjonction']"
hal-03522299,\,Rajaonasy,12 Jan 2022,2021,https://hal.science/hal-03522299,[]
hal-04439035,"Notes de lecture: a propos de Carine Capone, Aux",Sylvain Dournel,5 Feb 2024,2023,https://hal.science/hal-04439035,"['Notes', 'lecture', 'propos', 'Carine', 'Capone']"
hal-03407926,"Le machine learning, nouvelle porte d’entrée pour les","Emilie Bout, Valeria Loscri",23 Nov 2021,2021,https://hal.science/hal-03407926,"['machine', 'learning', 'nouvelle', 'porte', 'entrée']"
hal-04365988,\,» To cite this version:,28 Dec 2023,2021,https://hal.science/hal-04365988,[]
hal-04401882,\,» To cite this version:,18 Jan 2024,2023,https://inria.hal.science/hal-04401882,[]
hal-02962702,De ’animalisation a la neutralisation: fonctionnement,des verbes de bruit associés aux animaux,20 Apr 2021,2020,https://hal.science/hal-02962702v2,"['animalisation', 'neutralisation', 'fonctionnement']"
hal-03170454,Gallica sur les réseaux sociaux numériques ou la,"Sophie Bertrand, Isabelle Degrange",24 Mar 2021,2021,https://hal.science/hal-03170454,"['Gallica', 'réseaux', 'sociaux', 'numériques']"
hal-04428896,“ Fclairs analogiques. La métaphore dans L’Homme,foudroyé,31 Jan 2024,2020,https://hal.science/hal-04428896,"['Fclairs', 'analogiques', 'métaphore', 'Homme']"
hal-03509652,Traitement Automatique de Langues pour la,"Natalia Grabar, Anais Koptient, Rémi Cardon",4 Jan 2022,2021,https://hal.science/hal-03509652,"['Traitement', 'Automatique', 'Langues']"
hal-03349977,\,Chaminade,6 Oct 2021,2021,https://hal.science/hal-03349977,[]
hal-02860300,\,Karim Zaouaq,,2019,https://hal.science/hal-02860300,[]
hal-04451140,Roles et actions d’un chargé de mission numérique,Thierry Oger,11 Feb 2024,2023,https://hal.science/hal-04451140,"['Roles', 'actions', 'chargé', 'mission', 'numérique']"
hal-03429054,\,Stelene Narainen,15 Nov 2021,2021,https://hal.science/hal-03429054,[]
hal-02883368,Interaction homme-machine et personnalisation des,"Stéphanie Rey, Christophe Bortolaso, Anke Brock, Célia Picard, Mustapha",6 Jul 2020,2020,https://enac.hal.science/hal-02883368,"['Interaction', 'homme-machine', 'personnalisation']"
hal-03366980,“ Nouvelle approche d’implémentation d’un référentiel,de Systéeme d’information,6 Oct 2021,2021,https://hal.science/hal-03366980,"['Nouvelle', 'approche', 'implémentation', 'référentiel']"
hal-02557636,Extraction des caractéristiques lexico-grammaticales et,"Saint Germes Bienvenu Bengono Obiang, Norbert Tsopze",26 Jul 2021,2021,https://hal.science/hal-02557636v4,"['Extraction', 'caractéristiques', 'lexico', 'grammaticales']"
hal-04457857,\,Marine Lambolez,14 Feb 2024,2023,https://hal.science/hal-04457857,[]
hal-04263624,\,» To cite this version:,28 Oct 2023,2023,https://hal.science/hal-04263624,[]
hal-04511758,Lambeaux d’archives: pour une histoire des reliquats,Marie-Jeanne Zenetti,3 Apr 2024,2020,https://hal.univ-lyon2.fr /hal-04511758,"['Lambeaux', 'archives', 'histoire', 'reliquats']"
hal-04401963,Les objets connectés pour (presque) tous,"Matthieu Gautier, Olivier Berder, Claire Le Page",18 Jan 2024,2023,https://inria.hal.science/hal-04401963,"['objets', 'connectés', 'presque']"
hal-03992730,Créativité assistée par ordinateur: composer la musique,"Felipe Ariani, Marcelo Caetano, Javier Elipe Gimeno, Ivan",16 Feb 2023,2023,https://hal.science/hal-03992730,"['Créativité', 'assistée', 'ordinateur', 'composer', 'musique']"
